graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,23,33,2428,1
1,6,6,6,1266,1
2,3,3,2,3005,5
3,26,26,52,2848,3
4,11,11,14,1863,5
5,10,10,9,2000,1
6,10,10,11,178,4
7,7,7,8,3171,3
8,26,26,52,2848,3
9,6,6,8,3119,4
10,24,24,36,361,2
11,26,26,52,2848,3
12,20,20,23,1239,4
13,5,5,4,2979,5
14,21,21,21,607,2
15,16,16,25,2452,4
16,4,4,4,200,2
17,3,3,2,260,3
18,5,5,4,2030,4
19,9,9,9,2227,1
20,10,10,10,333,4
21,19,19,24,641,4
22,22,22,37,2733,5
23,3,3,2,260,3
24,20,20,41,876,3
25,9,9,11,3037,3
26,25,25,36,158,1
27,23,23,32,2771,4
28,25,25,36,158,1
29,20,20,28,2776,4
30,16,16,25,2452,4
31,10,10,10,333,4
32,17,17,22,1576,2
33,21,21,21,607,2
34,11,11,19,864,3
35,28,28,51,3086,2
36,30,30,69,404,1
37,3,3,2,2430,4
38,27,27,73,2976,1
39,28,28,51,3086,2
40,8,8,10,1185,1
41,25,25,36,936,2
42,16,16,26,339,4
43,13,13,20,2002,5
44,11,11,19,864,3
45,7,7,6,2074,4
46,9,9,8,3174,5
47,27,27,73,2976,1
48,13,13,20,2002,5
49,6,6,6,56,4
