graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,23,11,17,2836,4
1,6,5,4,1515,4
2,3,3,2,2050,1
3,26,5,4,1985,4
4,11,7,6,1970,4
5,10,5,4,1985,4
6,10,5,4,1985,4
7,7,4,3,1985,4
8,26,5,4,1985,4
9,6,5,4,1515,4
10,24,4,4,1792,0
11,26,5,4,1985,4
12,20,3,2,2430,4
13,5,2,1,858,2
14,21,5,4,1111,5
15,16,3,2,2430,4
16,4,2,1,2430,4
17,3,2,1,858,2
18,5,2,1,858,2
19,9,3,2,2430,4
20,10,2,1,1803,2
21,19,5,5,3103,5
22,22,5,4,3217,4
23,3,2,1,858,2
24,20,3,2,2430,4
25,9,3,2,2430,4
26,25,5,4,1111,5
27,23,3,2,2430,4
28,25,5,4,1111,5
29,20,3,2,2430,4
30,16,3,2,2430,4
31,10,2,1,1803,2
32,17,5,5,3102,5
33,21,5,4,1111,5
34,11,6,5,2727,5
35,28,4,4,541,4
36,30,8,10,2531,4
37,3,2,1,858,2
38,27,6,6,2378,5
39,28,14,20,177,3
40,8,2,1,2193,1
41,25,10,18,2442,3
42,16,2,1,2193,1
43,13,2,1,2193,1
44,11,7,7,1971,3
45,7,2,1,2193,1
46,9,4,4,1672,3
47,27,6,6,2378,5
48,13,2,1,2193,1
49,6,2,1,2193,1
