graph_id,sample_size,no_nodes,no_edges,ques_node_id,label
0,96,96,198,15400,2
1,29,29,33,12460,0
2,18,18,22,16659,1
3,109,109,188,7755,2
4,50,50,82,9299,0
5,46,46,49,10940,1
6,43,43,65,5073,1
7,32,32,42,11345,1
8,109,109,195,13712,1
9,28,28,28,6888,2
10,101,101,128,9891,1
11,109,109,192,1618,2
12,84,84,204,13755,1
13,26,26,28,10844,1
14,90,90,104,3898,2
15,69,69,90,15160,1
16,19,19,24,6029,0
17,18,18,17,8059,2
18,26,26,28,11713,2
19,42,42,43,5541,1
20,44,44,46,495,0
21,79,79,87,13434,1
22,92,92,275,13405,0
23,18,18,30,15136,0
24,86,86,151,1467,1
25,40,40,86,15274,1
26,106,106,166,12682,2
27,98,98,142,1212,1
28,104,104,310,12558,1
29,84,84,97,10682,2
30,68,68,107,14587,1
31,43,43,52,1133,1
32,72,72,129,11217,0
33,90,90,119,17726,2
34,50,50,66,10401,1
35,118,118,212,17080,2
36,15,15,14,17047,1
37,112,112,256,13705,1
38,118,118,184,7584,1
39,35,35,36,19337,2
40,104,104,113,5462,0
41,69,69,88,17327,2
42,58,58,63,17190,1
43,50,50,74,7670,1
44,34,34,33,8336,1
45,42,42,49,12938,2
46,112,112,191,11753,2
47,58,58,111,696,1
48,28,28,36,11574,0
49,26,26,25,16427,2
