setting,run,graph_id,node_with_question_mark,ground_truth,prompt,response,parsed_response,token_limit_fraction
ego,0,0,1080,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 771: Label 0| Node 55: Label 4| Node 65: Label 0| Node 1080: Label ?| Node 1156: Label 0| Node 1927: Label 0| Node 405: Label 0| Node 738: Label 0| Node 1416: Label 0| Node 30: Label 3| Node 61: Label 0| Node 149: Label 0| Node 2312: Label 0| Node 1655: Label 0| Node 2025: Label 0| Node 279: Label 0| Node 2344: Label 3| Node 1309: Label 5| Node 697: Label 3| Node 2162: Label 3| Node 2343: Label 3| Node 2475: Label 3| Node 2163: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 6| Triangle motifs attached to ? node: [['1080', '2162', '61'], ['1080', '2162', '738']]| Star motifs connected to ? node: [['149', '1416', '1655', '2025', '1080'], ['2344', '2475', '279', '2343', '1080'], ['61', '1416', '1309', '2162', '2312', '1080']]| ```
           ",Label of Node = 3,3,0.04931640625
ego,0,1,1650,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 647: Label 5| Node 541: Label 5| Node 904: Label 5| Node 1360: Label 5| Node 1960: Label 5| Node 1904: Label 5| Node 2491: Label 5| Node 107: Label 5| Node 971: Label 5| Node 1113: Label 5| Node 1650: Label ?| Node 1902: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 9| Triangle motifs attached to ? node: [['107', '1113', '1650'], ['107', '971', '1650']]| Star motifs connected to ? node: [['107', '541', '1113', '971', '1650']]| ```
           ",Label of Node = 5,5,0.0323486328125
ego,0,2,945,1,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 773: Label 1| Node 1072: Label 2| Node 1505: Label 1| Node 1797: Label 1| Node 306: Label 1| Node 1798: Label 1| Node 958: Label 1| Node 1799: Label 3| Node 1800: Label 1| Node 1801: Label 0| Node 1802: Label 3| Node 1803: Label 0| Node 1804: Label 2| Node 1740: Label 2| Node 1805: Label 1| Node 1296: Label 0| Node 728: Label 5| Node 1911: Label 5| Node 20: Label 5| Node 417: Label 3| Node 551: Label 6| Node 2388: Label 5| Node 1070: Label 2| Node 1358: Label 2| Node 1725: Label 2| Node 175: Label 6| Node 1914: Label 6| Node 189: Label 2| Node 236: Label 1| Node 244: Label 2| Node 342: Label 1| Node 945: Label ?| Node 973: Label 5| Node 1262: Label 2| Node 1478: Label 5| Node 1483: Label 2| Node 1733: Label 2| Node 1784: Label 1| Node 1512: Label 5| Node 1377: Label 5| Node 1368: Label 5| Node 2553: Label 5| Node 2145: Label 1| Node 2023: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 29| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['945', '1072', '1512', '1911', '2388'], ['1512', '2145', '2023', '342', '945']]| ```
           ",Label of Node = 5,5,0.06640625
ego,0,3,371,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1408: Label 5| Node 370: Label 5| Node 1553: Label 5| Node 1409: Label 5| Node 1827: Label 5| Node 1414: Label 5| Node 371: Label ?| Node 1415: Label 5| Node 2270: Label 5| Node 392: Label 5| Node 2269: Label 5| Node 720: Label 5| Node 1619: Label 5| Node 265: Label 5| Node 1441: Label 5| Node 648: Label 5| Node 400: Label 5| Node 1354: Label 5| Node 20: Label 5| Node 2375: Label 5| Node 540: Label 5| Node 1183: Label 5| Node 50: Label 5| Node 241: Label 5| Node 454: Label 5| Node 590: Label 3| Node 750: Label 5| Node 1060: Label 5| Node 1128: Label 5| Node 1700: Label 5| Node 1707: Label 5| Node 1954: Label 5| Node 1957: Label 3| Node 1958: Label 5| Node 2271: Label 5| Node 2272: Label 5| Node 2273: Label 5| Node 2274: Label 0| Node 2275: Label 5| Node 1404: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 16| Triangle motifs attached to ? node: [['1441', '371', '720'], ['371', '1415', '1414']]| Star motifs connected to ? node: [['1354', '2270', '400', '1183', '371'], ['720', '1441', '392', '371']]| ```
           ",Label of Node = 5,5,0.063720703125
ego,0,4,2186,0,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 256: Label 3| Node 756: Label 3| Node 512: Label 3| Node 172: Label 3| Node 240: Label 3| Node 1472: Label 3| Node 1692: Label 3| Node 901: Label 0| Node 731: Label 0| Node 1042: Label 0| Node 1279: Label 0| Node 2073: Label 0| Node 2186: Label ?| Node 2199: Label 0| Node 2187: Label 3| Node 1423: Label 3| Node 95: Label 0| Node 456: Label 0| Node 544: Label 0| Node 680: Label 0| Node 1580: Label 0| Node 2200: Label 0| Node 2201: Label 0| Node 2203: Label 0| Node 291: Label 3| Node 503: Label 3| Node 574: Label 3| Node 1469: Label 3| Node 1514: Label 3| Node 2302: Label 3| Node 2345: Label 3| Node 2346: Label 3| Node 2347: Label 0| Node 2348: Label 3| Node 2349: Label 3| Node 433: Label 3| Node 885: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 45| Triangle motifs attached to ? node: [['1279', '2186', '901'], ['1692', '2186', '756'], ['2199', '2186', '901']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 0,0,0.0579833984375
ego,0,5,301,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 524: Label 2| Node 552: Label 2| Node 1169: Label 2| Node 1358: Label 2| Node 2476: Label 2| Node 1040: Label 2| Node 1765: Label 2| Node 111: Label 2| Node 188: Label 2| Node 301: Label ?| Node 439: Label 2| Node 628: Label 5| Node 689: Label 2| Node 748: Label 2| Node 823: Label 2| Node 853: Label 2| Node 1145: Label 2| Node 1714: Label 2| Node 1719: Label 2| Node 1720: Label 2| Node 1731: Label 2| Node 1734: Label 2| Node 1737: Label 2| Node 2220: Label 2| Node 2492: Label 2| Node 758: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 28| Triangle motifs attached to ? node: [['1169', '301', '2492']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 2,2,0.043701171875
ego,0,6,1885,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1028: Label 5| Node 661: Label 5| Node 97: Label 5| Node 344: Label 5| Node 807: Label 5| Node 830: Label 6| Node 935: Label 5| Node 1045: Label 1| Node 1353: Label 5| Node 1878: Label 5| Node 1879: Label 5| Node 1880: Label 5| Node 1881: Label 5| Node 1882: Label 5| Node 1883: Label 5| Node 1884: Label 5| Node 1885: Label ?| Node 1958: Label 5| Node 854: Label 4| Node 2644: Label 5| Node 113: Label 5| Node 249: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 2| Triangle motifs attached to ? node: [['1884', '1885', '661']]| Star motifs connected to ? node: [['1884', '854', '661', '113', '1958', '249', '1885']]| ```
           ",Label of Node = 5,5,0.04248046875
ego,0,7,1605,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1815: Label 3| Node 310: Label 3| Node 1950: Label 3| Node 1944: Label 3| Node 336: Label 3| Node 1946: Label 3| Node 1432: Label 3| Node 1054: Label 3| Node 2663: Label 3| Node 1947: Label 3| Node 1272: Label 3| Node 1948: Label 3| Node 875: Label 3| Node 892: Label 3| Node 1241: Label 3| Node 1334: Label 3| Node 1605: Label ?| Node 990: Label 3| Node 1099: Label 3| Node 1577: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 17| Triangle motifs attached to ? node: [['1605', '1950', '1054']]| Star motifs connected to ? node: []| ```
           ",Label of Node = 3,3,0.0380859375
ego,0,8,1677,5,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 130: Label 5| Node 88: Label 0| Node 2017: Label 5| Node 2178: Label 5| Node 76: Label 5| Node 415: Label 0| Node 737: Label 5| Node 1309: Label 5| Node 2182: Label 0| Node 525: Label 0| Node 1288: Label 6| Node 1677: Label ?| Node 191: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 162: Label 4| Node 815: Label 0| Node 1178: Label 4| Node 1529: Label 4| Node 61: Label 0| Node 490: Label 5| Node 851: Label 0| Node 995: Label 5| Node 1338: Label 5| Node 1625: Label 2| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 2102: Label 5| Node 2103: Label 5| Node 204: Label 0| Node 300: Label 5| Node 593: Label 4| Node 818: Label 3| Node 966: Label 0| Node 1527: Label 0| Node 1644: Label 0| Node 1843: Label 0| Node 1847: Label 0| Node 1850: Label 0| Node 2014: Label 3| Node 1713: Label 0| Node 2385: Label 4| Node 696: Label 3| Node 382: Label 3| Node 608: Label 1| Node 1791: Label 1| Node 1998: Label 5| Node 1474: Label 4| Node 1732: Label 2| Node 841: Label 3| Node 211: Label 0| Node 1394: Label 5| Node 1494: Label 5| Node 498: Label 4| Node 743: Label 3| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Node 2016: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 34| Triangle motifs attached to ? node: [['88', '1908', '415'], ['88', '1908', '1677'], ['88', '1309', '415'], ['88', '1309', '1677'], ['88', '415', '1677'], ['1908', '415', '1677'], ['1309', '415', '1677']]| Star motifs connected to ? node: [['191', '1998', '382', '2385', '1791', '608', '1677']]| ```
           ",Label of Node = 0,0,0.0933837890625
ego,0,9,2108,3,"Task : Node Label Prediction (Predict the label of the node marked with a ?), given the node label mapping and graph motif information enclosed in triple backticks ```. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"".  
           ```Node to Label Mapping : 
Node 1851: Label 6| Node 693: Label 0| Node 2335: Label 4| Node 1519: Label 4| Node 1511: Label 3| Node 334: Label 0| Node 95: Label 0| Node 147: Label 3| Node 1015: Label 4| Node 1534: Label 4| Node 2108: Label ?| Node 2640: Label 3| Node 763: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 1| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['1519', '1511', '147', '1015', '2335', '1534', '2640', '2108']]| ```
           ",Label of Node = 4,4,0.03271484375
