GroundTruth,Parsed Value,Prompt,Response
4,0,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 1
Edgelist: [(195, 94), (675, 94), (675, 2356), (2211, 2356), (934, 94), (934, 2356), (586, 94), (1966, 94), (1649, 94), (2355, 94), (2355, 2356), (2355, 2357), (2356, 2357), (2357, 94), (2263, 94), (2263, 2490), (2490, 94), (733, 94)]
Node to Label Mapping : 
Node 195: Label 0| Node 675: Label 4| Node 2211: Label 0| Node 934: Label 4| Node 586: Label 0| Node 1966: Label 4| Node 1649: Label 4| Node 2355: Label 4| Node 2356: Label 0| Node 2357: Label ?| Node 2263: Label 4| Node 2490: Label 4| Node 733: Label 0| Node 94: Label 0| ```
            ""","""Label of Node 2357 = 0"""
2,2,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 2
Edgelist: [(1003, 1687), (246, 1687), (1687, 28), (1687, 1721)]
Node to Label Mapping : 
Node 1003: Label ?| Node 246: Label 2| Node 1687: Label 2| Node 1721: Label 2| Node 28: Label 2| ```
            ""","""Label of Node = 2"""
4,4,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 3
Edgelist: [(1417, 963), (1417, 1703), (789, 1240), (789, 1703), (22, 1234), (22, 1702), (22, 1703), (22, 2238), (1569, 1966), (1702, 463), (1702, 1234), (1702, 1240), (1702, 1365), (1702, 1703), (1702, 1966), (1702, 1970), (1702, 1971), (1702, 2238), (1703, 463), (1703, 759), (1703, 963), (1703, 1234), (1703, 1365), (1703, 1906), (1703, 1966), (1703, 1967), (1703, 1968), (1703, 1969), (1703, 1970), (1703, 1971), (1703, 2238), (1964, 463), (1964, 1906), (1964, 1966), (1966, 94), (1966, 362), (1966, 443), (1966, 463), (1966, 946), (1966, 1010), (1966, 1234), (1966, 1971), (1969, 2238), (443, 1010)]
Node to Label Mapping : 
Node 1417: Label 4| Node 789: Label 4| Node 22: Label 4| Node 1569: Label 4| Node 1702: Label 4| Node 1703: Label 4| Node 1964: Label 4| Node 1966: Label 4| Node 1967: Label 4| Node 1968: Label 4| Node 1969: Label 4| Node 1970: Label 4| Node 1971: Label 4| Node 946: Label ?| Node 443: Label 4| Node 2238: Label 4| Node 963: Label 4| Node 463: Label 4| Node 1234: Label 4| Node 1365: Label 3| Node 1240: Label 4| Node 94: Label 0| Node 362: Label 4| Node 1906: Label 4| Node 1010: Label 4| Node 759: Label 4| ```
            ""","""Label of Node 946 = 4"""
4,4,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 4
Edgelist: [(2401, 375), (2401, 963), (2401, 2434), (2401, 2435), (2434, 375), (2434, 963), (2435, 375), (963, 375)]
Node to Label Mapping : 
Node 2401: Label 4| Node 2434: Label 4| Node 2435: Label 4| Node 963: Label ?| Node 375: Label 4| ```
            ""","""Label of Node 963 = 4"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 5
Edgelist: [(1024, 625)]
Node to Label Mapping : 
Node 1024: Label ?| Node 625: Label 3| ```
            ""","""Label of Node = 3"""
6,1170 : 6,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 6
Edgelist: [(1170, 404), (1170, 1476), (1476, 404)]
Node to Label Mapping : 
Node 1170: Label ?| Node 1476: Label 6| Node 404: Label 6| ```
            ""","""Label of Node = 1170 : 6"""
2,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 7
Edgelist: [(1728, 961), (1728, 1358), (1728, 2257), (1728, 2555), (1728, 2599), (961, 2555), (961, 2599), (2599, 2555)]
Node to Label Mapping : 
Node 1728: Label 3| Node 961: Label 3| Node 2599: Label 3| Node 1358: Label ?| Node 2257: Label 1| Node 2555: Label 3| ```
            ""","""Label of Node 1358 = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 8
Edgelist: [(2, 1986), (899, 1986), (391, 68), (391, 1986), (519, 1574), (519, 1986), (519, 1998), (2000, 160), (2000, 1986), (1166, 1986), (1812, 1986), (277, 160), (277, 553), (277, 973), (1558, 792), (1558, 1986), (151, 1986), (792, 1986), (1989, 460), (1989, 1986), (1434, 1986), (1990, 1986), (160, 553), (160, 743), (160, 745), (160, 1986), (160, 2009), (673, 1986), (1697, 1986), (1991, 1986), (1574, 1986), (1992, 1986), (1704, 1986), (553, 366), (553, 745), (553, 1127), (553, 1583), (553, 1995), (553, 2009), (681, 1986), (45, 1986), (1453, 1986), (1583, 366), (1583, 376), (1583, 973), (1583, 1013), (1583, 1120), (1583, 1127), (1583, 1224), (1583, 1995), (1583, 2025), (1709, 1986), (1994, 1986), (179, 1986), (566, 1986), (1986, 68), (1986, 71), (1986, 201), (1986, 215), (1986, 232), (1986, 335), (1986, 366), (1986, 460), (1986, 476), (1986, 743), (1986, 745), (1986, 968), (1986, 1023), (1986, 1095), (1986, 1127), (1986, 1149), (1986, 1859), (1986, 1870), (1986, 1873), (1986, 1875), (1986, 1876), (1986, 1987), (1986, 1988), (1986, 1993), (1986, 1995), (1986, 1996), (1986, 1997), (1986, 1998), (1986, 1999), (1986, 2001), (1986, 2002), (1986, 2003), (1986, 2004), (1986, 2005), (1986, 2006), (1986, 2007), (1986, 2008), (1986, 2009), (1987, 2004), (1995, 745), (2009, 745), (2009, 2025), (2001, 2002), (2001, 2003), (1120, 1013), (1120, 2025), (1127, 745), (743, 745), (745, 366)]
Node to Label Mapping : 
Node 2: Label 4| Node 899: Label 3| Node 391: Label 2| Node 519: Label 1| Node 2000: Label 3| Node 1166: Label 3| Node 1812: Label 3| Node 277: Label 3| Node 1558: Label 3| Node 151: Label 4| Node 792: Label 3| Node 1989: Label 2| Node 1434: Label 3| Node 1990: Label 2| Node 160: Label 3| Node 673: Label 3| Node 1697: Label 3| Node 1991: Label 1| Node 1574: Label 3| Node 1992: Label 3| Node 1704: Label 3| Node 553: Label 3| Node 681: Label 3| Node 45: Label 3| Node 1453: Label 3| Node 1583: Label 0| Node 1709: Label 2| Node 1994: Label 3| Node 179: Label 3| Node 566: Label 3| Node 1986: Label 3| Node 1859: Label 3| Node 68: Label 2| Node 1987: Label 3| Node 1988: Label 3| Node 71: Label 2| Node 1224: Label 0| Node 201: Label 3| Node 968: Label 1| Node 1995: Label 3| Node 460: Label 1| Node 973: Label 5| Node 1095: Label 3| Node 335: Label 3| Node 1870: Label 3| Node 1873: Label 3| Node 1993: Label 3| Node 1875: Label 3| Node 1876: Label 3| Node 1996: Label 3| Node 1997: Label 3| Node 215: Label 3| Node 1999: Label 3| Node 2009: Label 3| Node 2001: Label 4| Node 1998: Label 5| Node 476: Label 1| Node 2002: Label 4| Node 2003: Label 3| Node 2006: Label 3| Node 1120: Label 0| Node 2008: Label 3| Node 2004: Label ?| Node 1127: Label 3| Node 743: Label 3| Node 745: Label 3| Node 2025: Label 0| Node 232: Label 3| Node 2005: Label 3| Node 366: Label 3| Node 2007: Label 3| Node 1013: Label 0| Node 376: Label 5| Node 1149: Label 2| Node 1023: Label 3| ```
            ""","""Label of Node 2004 = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 9
Edgelist: [(1608, 2124), (1608, 2126), (1611, 1462), (1611, 2124), (2124, 1119), (2124, 1273), (2124, 2125), (2124, 2126), (2124, 2127), (2125, 1119), (2125, 1273), (2125, 2126), (2126, 1119), (2126, 1235), (2126, 1273), (1663, 1119), (1663, 1462), (2127, 1119), (1235, 1119), (1235, 1462), (1462, 1119), (1273, 1119)]
Node to Label Mapping : 
Node 1608: Label 3| Node 1611: Label 3| Node 2124: Label 3| Node 2125: Label 3| Node 2126: Label ?| Node 1663: Label 3| Node 2127: Label 4| Node 1235: Label 4| Node 1462: Label 3| Node 1273: Label 3| Node 1119: Label 3| ```
            ""","""Label of Node 2126 = 3"""
6,6,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 10
Edgelist: [(550, 93), (2151, 93), (950, 93), (1495, 93)]
Node to Label Mapping : 
Node 550: Label 6| Node 2151: Label ?| Node 950: Label 6| Node 1495: Label 6| Node 93: Label 6| ```
            ""","""Label of Node 2151 = 6"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 11
Edgelist: [(2241, 1503), (2241, 2207), (1382, 1502), (1503, 979), (1503, 1502), (2413, 2414), (2414, 1200), (1200, 1502), (1200, 2207), (2163, 1502), (979, 2207)]
Node to Label Mapping : 
Node 2241: Label ?| Node 1382: Label 3| Node 1503: Label 3| Node 2413: Label 3| Node 2414: Label 3| Node 1200: Label 3| Node 2163: Label 3| Node 979: Label 3| Node 1502: Label 3| Node 2207: Label 3| ```
            ""","""Label of Node 2241 = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 12
Edgelist: [(2304, 733), (1160, 401), (1160, 733), (1160, 794), (1160, 2268), (1294, 352), (1294, 733), (401, 733), (1682, 733), (1682, 2291), (1944, 310), (1944, 352), (1817, 733), (794, 733), (1818, 733), (678, 377), (678, 733), (1062, 733), (1062, 1192), (1192, 733), (45, 733), (45, 2303), (1329, 733), (435, 733), (310, 352), (2303, 733), (2008, 733), (2008, 2301), (218, 733), (2011, 733), (2268, 383), (2268, 733), (2268, 2291), (733, 94), (733, 377), (733, 383), (733, 759), (733, 862), (733, 1265), (733, 2035), (733, 2291), (733, 2301), (733, 2302), (1265, 377), (1265, 2291), (2291, 377)]
Node to Label Mapping : 
Node 2304: Label 3| Node 1160: Label 3| Node 1294: Label 3| Node 401: Label 3| Node 1682: Label 0| Node 1944: Label 3| Node 1817: Label 3| Node 794: Label 0| Node 1818: Label 3| Node 678: Label 3| Node 1062: Label 3| Node 1192: Label 3| Node 45: Label 3| Node 1329: Label 3| Node 435: Label 4| Node 310: Label 3| Node 2303: Label 3| Node 2008: Label 3| Node 218: Label 3| Node 2011: Label 3| Node 2268: Label 0| Node 733: Label 0| Node 862: Label 4| Node 94: Label 0| Node 352: Label 3| Node 1265: Label 4| Node 2035: Label 3| Node 2291: Label 0| Node 759: Label 4| Node 377: Label 3| Node 2301: Label 3| Node 2302: Label ?| Node 383: Label 3| ```
            ""","""Label of Node 2302 = 3"""
2,2,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 13
Edgelist: [(2560, 1114), (2560, 1717), (2560, 2561), (1731, 1358), (1731, 1717), (1358, 1717), (1717, 1114)]
Node to Label Mapping : 
Node 2560: Label 2| Node 2561: Label 2| Node 1731: Label ?| Node 1358: Label 2| Node 1717: Label 2| Node 1114: Label 2| ```
            ""","""Label of Node 1731 = 2"""
4,4,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 14
Edgelist: [(996, 1135), (996, 1257), (996, 2518), (1385, 714), (714, 48), (714, 148), (2538, 381), (2538, 1257), (2538, 2518), (1257, 1135), (1257, 2249), (1257, 2518), (2249, 2518), (1135, 2518), (148, 378), (148, 381), (148, 602), (148, 2518), (602, 378), (2518, 381)]
Node to Label Mapping : 
Node 996: Label 4| Node 1385: Label ?| Node 714: Label 4| Node 2538: Label 4| Node 1257: Label 4| Node 2249: Label 4| Node 1135: Label 4| Node 48: Label 3| Node 148: Label 4| Node 602: Label 4| Node 2518: Label 4| Node 378: Label 4| Node 381: Label 4| ```
            ""","""Label of Node 1385 = 4"""
6,0,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 15
Edgelist: [(1602, 2072), (69, 1926), (69, 2189), (2182, 2072), (679, 1395), (454, 2189), (1926, 2189), (2189, 847), (2189, 1395), (2189, 1682), (1681, 695), (1681, 948), (1682, 695), (1682, 948), (1682, 2321), (1395, 948), (1395, 2072), (1395, 2266), (1395, 2267), (948, 695), (2321, 2266), (2266, 2267), (2266, 2364)]
Node to Label Mapping : 
Node 1602: Label 0| Node 69: Label 6| Node 2182: Label 0| Node 679: Label 0| Node 454: Label 5| Node 1926: Label 0| Node 2189: Label 0| Node 847: Label ?| Node 1681: Label 3| Node 1682: Label 0| Node 1395: Label 0| Node 948: Label 0| Node 2321: Label 0| Node 695: Label 3| Node 2072: Label 0| Node 2266: Label 0| Node 2267: Label 0| Node 2364: Label 0| ```
            ""","""Label of Node 847 = 0"""
5,5,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 16
Edgelist: [(1954, 1901), (451, 2285), (645, 1901), (2284, 1901), (2284, 2285), (2285, 989), (2285, 2286), (1901, 119), (1901, 1549), (1901, 2286), (1549, 119), (1549, 2286)]
Node to Label Mapping : 
Node 1954: Label 5| Node 451: Label 5| Node 645: Label 5| Node 2284: Label 5| Node 2285: Label 5| Node 1901: Label ?| Node 1549: Label 5| Node 2286: Label 5| Node 119: Label 5| Node 989: Label 0| ```
            ""","""Label of Node 1901 = 5"""
