graph_id,ground_truth,ques_node_id,text_modality,text_response,motif_modality,motif_response,image_response,homophily,motif,homophily_mapped,motif_mapped,difficulty
0,3,1080,"
 ```Adjacency list: {'55': ['771', '1156'], '771': ['55', '65', '1080', '1156'], '65': ['771', '1156'], '1080': ['771', '149', '2344', '61', '697', '738', '2162'], '1156': ['771', '55', '65'], '149': ['1080', '1416', '1655', '2025'], '2344': ['1080', '279', '2343', '2475'], '61': ['1080', '1416', '2312', '1309', '2162'], '697': ['1080', '30'], '738': ['1080', '1927', '405', '30', '2162'], '2162': ['1080', '738', '30', '61', '2163'], '405': ['1927', '738'], '1927': ['405', '738'], '30': ['738', '1416', '697', '2162', '2343'], '1416': ['30', '61', '149'], '2343': ['30', '2344'], '2312': ['61'], '1309': ['61'], '1655': ['149'], '2025': ['149'], '279': ['2344'], '2475': ['2344'], '2163': ['2162']}
Node to Label Mapping : 
Node 771: Label 0| Node 55: Label 4| Node 65: Label 0| Node 1080: Label ?| Node 1156: Label 0| Node 1927: Label 0| Node 405: Label 0| Node 738: Label 0| Node 1416: Label 0| Node 30: Label 3| Node 61: Label 0| Node 149: Label 0| Node 2312: Label 0| Node 1655: Label 0| Node 2025: Label 0| Node 279: Label 0| Node 2344: Label 3| Node 1309: Label 5| Node 697: Label 3| Node 2162: Label 3| Node 2343: Label 3| Node 2475: Label 3| Node 2163: Label 3| ```",0,"
 ```Node to Label Mapping : 
Node 771: Label 0| Node 55: Label 4| Node 65: Label 0| Node 1080: Label ?| Node 1156: Label 0| Node 1927: Label 0| Node 405: Label 0| Node 738: Label 0| Node 1416: Label 0| Node 30: Label 3| Node 61: Label 0| Node 149: Label 0| Node 2312: Label 0| Node 1655: Label 0| Node 2025: Label 0| Node 279: Label 0| Node 2344: Label 3| Node 1309: Label 5| Node 697: Label 3| Node 2162: Label 3| Node 2343: Label 3| Node 2475: Label 3| Node 2163: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 6| Triangle motifs attached to ? node: [['61', '2162', '1080'], ['738', '2162', '1080']]| Star motifs connected to ? node: [['149', '1655', '1416', '2025', '1080'], ['2344', '2343', '279', '2475', '1080'], ['61', '2162', '1416', '1309', '2312', '1080']]| ```",3,3,medium,easy,1,0,medium
1,5,1650,"
 ```Adjacency list: {'541': ['647', '904', '107', '1360'], '647': ['541', '904', '1360'], '904': ['647', '541', '1360'], '1360': ['647', '541', '904', '1960', '1902', '1650', '1904', '2491'], '107': ['541', '971', '1113', '1650'], '1960': ['1360', '1904', '2491'], '1902': ['1360', '1904'], '1650': ['1360', '107', '971', '1113'], '1904': ['1360', '1960', '1902'], '2491': ['1360', '1960'], '971': ['107', '1650'], '1113': ['107', '1650']}
Node to Label Mapping : 
Node 647: Label 5| Node 541: Label 5| Node 904: Label 5| Node 1360: Label 5| Node 1960: Label 5| Node 1904: Label 5| Node 2491: Label 5| Node 107: Label 5| Node 971: Label 5| Node 1113: Label 5| Node 1650: Label ?| Node 1902: Label 5| ```",5,"
 ```Node to Label Mapping : 
Node 647: Label 5| Node 541: Label 5| Node 904: Label 5| Node 1360: Label 5| Node 1960: Label 5| Node 1904: Label 5| Node 2491: Label 5| Node 107: Label 5| Node 971: Label 5| Node 1113: Label 5| Node 1650: Label ?| Node 1902: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 9| Triangle motifs attached to ? node: [['1650', '107', '971'], ['1650', '107', '1113']]| Star motifs connected to ? node: [['107', '541', '971', '1113', '1650']]| ```",5,5,easy,easy,0,0,easy
2,1,945,"
 ```Adjacency list: {'1072': ['773', '1797', '1798', '1799', '1800', '1801', '1802', '1803', '1804', '1805', '20', '417', '1070', '189', '236', '244', '306', '342', '945', '958', '973', '1262', '1358', '1478', '1483', '1505', '1725', '1733', '1740', '1784'], '773': ['1072', '1505'], '1505': ['773', '1072', '1801'], '1797': ['1072', '306'], '1798': ['1072', '306', '958'], '1799': ['1072', '306'], '1800': ['1072'], '1801': ['1072', '1505'], '1802': ['1072', '306'], '1803': ['1072'], '1804': ['1072', '306', '1740'], '1805': ['1072', '306'], '20': ['1072'], '417': ['1072', '306'], '1070': ['1072', '728', '1358', '1725'], '189': ['1072', '1262'], '236': ['1072', '306'], '244': ['1072', '1358'], '306': ['1072', '1797', '1798', '1799', '1802', '1804', '1805', '417', '236', '958', '973', '1483'], '342': ['1072', '1512'], '945': ['1072', '1911', '2388', '1512'], '958': ['1072', '306', '1798'], '973': ['1072', '306'], '1262': ['1072', '189'], '1358': ['1072', '1740', '1070', '1725', '1733', '1483', '244'], '1478': ['1072'], '1483': ['1072', '306', '1358'], '1725': ['1072', '1740', '1070', '1358'], '1733': ['1072', '1358'], '1740': ['1072', '1804', '1725', '1358'], '1784': ['1072'], '728': ['1296', '1070', '2388', '2553'], '1296': ['728', '1911'], '1911': ['1296', '945', '1368', '2553'], '2388': ['728', '551', '175', '945', '1377', '1914'], '2553': ['728', '1911', '1368'], '1368': ['1911', '2553'], '551': ['2388'], '175': ['2388', '1914'], '1377': ['2388'], '1914': ['2388', '175'], '1512': ['342', '945', '2145', '2023'], '2145': ['1512'], '2023': ['1512']}
Node to Label Mapping : 
Node 773: Label 1| Node 1072: Label 2| Node 1505: Label 1| Node 1797: Label 1| Node 306: Label 1| Node 1798: Label 1| Node 958: Label 1| Node 1799: Label 3| Node 1800: Label 1| Node 1801: Label 0| Node 1802: Label 3| Node 1803: Label 0| Node 1804: Label 2| Node 1740: Label 2| Node 1805: Label 1| Node 1296: Label 0| Node 728: Label 5| Node 1911: Label 5| Node 20: Label 5| Node 417: Label 3| Node 551: Label 6| Node 2388: Label 5| Node 1070: Label 2| Node 1358: Label 2| Node 1725: Label 2| Node 175: Label 6| Node 1914: Label 6| Node 189: Label 2| Node 236: Label 1| Node 244: Label 2| Node 342: Label 1| Node 945: Label ?| Node 973: Label 5| Node 1262: Label 2| Node 1478: Label 5| Node 1483: Label 2| Node 1733: Label 2| Node 1784: Label 1| Node 1512: Label 5| Node 1377: Label 5| Node 1368: Label 5| Node 2553: Label 5| Node 2145: Label 1| Node 2023: Label 5| ```",5,"
 ```Node to Label Mapping : 
Node 773: Label 1| Node 1072: Label 2| Node 1505: Label 1| Node 1797: Label 1| Node 306: Label 1| Node 1798: Label 1| Node 958: Label 1| Node 1799: Label 3| Node 1800: Label 1| Node 1801: Label 0| Node 1802: Label 3| Node 1803: Label 0| Node 1804: Label 2| Node 1740: Label 2| Node 1805: Label 1| Node 1296: Label 0| Node 728: Label 5| Node 1911: Label 5| Node 20: Label 5| Node 417: Label 3| Node 551: Label 6| Node 2388: Label 5| Node 1070: Label 2| Node 1358: Label 2| Node 1725: Label 2| Node 175: Label 6| Node 1914: Label 6| Node 189: Label 2| Node 236: Label 1| Node 244: Label 2| Node 342: Label 1| Node 945: Label ?| Node 973: Label 5| Node 1262: Label 2| Node 1478: Label 5| Node 1483: Label 2| Node 1733: Label 2| Node 1784: Label 1| Node 1512: Label 5| Node 1377: Label 5| Node 1368: Label 5| Node 2553: Label 5| Node 2145: Label 1| Node 2023: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 29| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['945', '1072', '1512', '1911', '2388'], ['1512', '342', '2023', '2145', '945']]| ```",5,2,hard,hard,2,2,hard
3,5,371,"
 ```Adjacency list: {'370': ['1408', '1414', '1415', '2269'], '1408': ['370', '1553'], '1553': ['1408', '1409', '371', '1827'], '1414': ['370', '371', '1415', '2270'], '1415': ['370', '1414', '371', '392', '2269'], '2269': ['370', '1415', '2270', '392', '20', '1619'], '1409': ['1553', '1827'], '371': ['1553', '1414', '1415', '1441', '2375', '1354', '720'], '1827': ['1553', '1409'], '2270': ['1414', '20', '2375', '1354', '2269'], '1441': ['371', '720', '1619', '265', '648', '540', '50', '241', '454', '590', '750', '1060', '1128', '1700', '1707', '1954', '1957', '1958', '2271', '2272', '2273', '2274', '2275'], '2375': ['371', '2270', '20', '1404'], '1354': ['371', '2270', '400', '1183'], '720': ['371', '392', '1441'], '392': ['1415', '720', '1619', '2269'], '20': ['2270', '2269', '2375'], '1619': ['392', '2269', '1441'], '265': ['1441'], '648': ['1441'], '540': ['1441'], '50': ['1441'], '241': ['1441'], '454': ['1441'], '590': ['1441', '1954'], '750': ['1441'], '1060': ['1441'], '1128': ['1441', '1954', '2275'], '1700': ['1441'], '1707': ['1441'], '1954': ['1441', '590', '1128', '1957', '1958', '2275'], '1957': ['1441', '1954'], '1958': ['1441', '1954'], '2271': ['1441'], '2272': ['1441'], '2273': ['1441'], '2274': ['1441'], '2275': ['1441', '1128', '1954'], '400': ['1354'], '1183': ['1354'], '1404': ['2375']}
Node to Label Mapping : 
Node 1408: Label 5| Node 370: Label 5| Node 1553: Label 5| Node 1409: Label 5| Node 1827: Label 5| Node 1414: Label 5| Node 371: Label ?| Node 1415: Label 5| Node 2270: Label 5| Node 392: Label 5| Node 2269: Label 5| Node 720: Label 5| Node 1619: Label 5| Node 265: Label 5| Node 1441: Label 5| Node 648: Label 5| Node 400: Label 5| Node 1354: Label 5| Node 20: Label 5| Node 2375: Label 5| Node 540: Label 5| Node 1183: Label 5| Node 50: Label 5| Node 241: Label 5| Node 454: Label 5| Node 590: Label 3| Node 750: Label 5| Node 1060: Label 5| Node 1128: Label 5| Node 1700: Label 5| Node 1707: Label 5| Node 1954: Label 5| Node 1957: Label 3| Node 1958: Label 5| Node 2271: Label 5| Node 2272: Label 5| Node 2273: Label 5| Node 2274: Label 0| Node 2275: Label 5| Node 1404: Label 5| ```",5,"
 ```Node to Label Mapping : 
Node 1408: Label 5| Node 370: Label 5| Node 1553: Label 5| Node 1409: Label 5| Node 1827: Label 5| Node 1414: Label 5| Node 371: Label ?| Node 1415: Label 5| Node 2270: Label 5| Node 392: Label 5| Node 2269: Label 5| Node 720: Label 5| Node 1619: Label 5| Node 265: Label 5| Node 1441: Label 5| Node 648: Label 5| Node 400: Label 5| Node 1354: Label 5| Node 20: Label 5| Node 2375: Label 5| Node 540: Label 5| Node 1183: Label 5| Node 50: Label 5| Node 241: Label 5| Node 454: Label 5| Node 590: Label 3| Node 750: Label 5| Node 1060: Label 5| Node 1128: Label 5| Node 1700: Label 5| Node 1707: Label 5| Node 1954: Label 5| Node 1957: Label 3| Node 1958: Label 5| Node 2271: Label 5| Node 2272: Label 5| Node 2273: Label 5| Node 2274: Label 0| Node 2275: Label 5| Node 1404: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 16| Triangle motifs attached to ? node: [['1441', '371', '720'], ['371', '1414', '1415']]| Star motifs connected to ? node: [['1354', '1183', '400', '2270', '371'], ['720', '1441', '392', '371']]| ```",5,5,medium,medium,1,1,medium
4,0,2186,"
 ```Adjacency list: {'756': ['256', '512', '2186', '2187', '1692', '172', '433', '1469', '1472', '240', '885'], '256': ['756'], '512': ['756', '172', '240', '1472', '1692'], '2186': ['756', '1692', '901', '1279', '2199'], '2187': ['756', '172', '1472', '1692'], '1692': ['756', '512', '172', '240', '1472', '2186', '2187', '1423', '291', '503', '574', '1469', '1514', '2302', '2345', '2346', '2347', '2348', '2349'], '172': ['756', '512', '2187', '1692', '240'], '433': ['756'], '1469': ['756', '1692', '2346', '2349'], '1472': ['756', '512', '240', '2187', '1692'], '240': ['756', '512', '172', '1692', '1472'], '885': ['756'], '1423': ['1692'], '291': ['1692'], '503': ['1692'], '574': ['1692'], '1514': ['1692'], '2302': ['1692'], '2345': ['1692'], '2346': ['1692', '1469', '2349'], '2347': ['1692', '456', '544'], '2348': ['1692'], '2349': ['1692', '1469', '2346'], '731': ['901', '2199', '2203', '1279'], '901': ['731', '1042', '1279', '2073', '2186', '2199'], '1042': ['901', '2073'], '1279': ['901', '731', '2186', '2203'], '2073': ['901', '1042'], '2199': ['901', '731', '2186', '95', '456', '544', '680', '1580', '2200', '2201'], '2203': ['731', '1279'], '95': ['2199', '2200', '2201', '1580', '456'], '456': ['2199', '95', '544', '2347', '1580'], '544': ['2199', '456', '1580', '2347'], '680': ['2199'], '1580': ['2199', '95', '456', '544', '2200'], '2200': ['2199', '95', '1580'], '2201': ['2199', '95']}
Node to Label Mapping : 
Node 256: Label 3| Node 756: Label 3| Node 512: Label 3| Node 172: Label 3| Node 240: Label 3| Node 1472: Label 3| Node 1692: Label 3| Node 901: Label 0| Node 731: Label 0| Node 1042: Label 0| Node 1279: Label 0| Node 2073: Label 0| Node 2186: Label ?| Node 2199: Label 0| Node 2187: Label 3| Node 1423: Label 3| Node 95: Label 0| Node 456: Label 0| Node 544: Label 0| Node 680: Label 0| Node 1580: Label 0| Node 2200: Label 0| Node 2201: Label 0| Node 2203: Label 0| Node 291: Label 3| Node 503: Label 3| Node 574: Label 3| Node 1469: Label 3| Node 1514: Label 3| Node 2302: Label 3| Node 2345: Label 3| Node 2346: Label 3| Node 2347: Label 0| Node 2348: Label 3| Node 2349: Label 3| Node 433: Label 3| Node 885: Label 5| ```",0,"
 ```Node to Label Mapping : 
Node 256: Label 3| Node 756: Label 3| Node 512: Label 3| Node 172: Label 3| Node 240: Label 3| Node 1472: Label 3| Node 1692: Label 3| Node 901: Label 0| Node 731: Label 0| Node 1042: Label 0| Node 1279: Label 0| Node 2073: Label 0| Node 2186: Label ?| Node 2199: Label 0| Node 2187: Label 3| Node 1423: Label 3| Node 95: Label 0| Node 456: Label 0| Node 544: Label 0| Node 680: Label 0| Node 1580: Label 0| Node 2200: Label 0| Node 2201: Label 0| Node 2203: Label 0| Node 291: Label 3| Node 503: Label 3| Node 574: Label 3| Node 1469: Label 3| Node 1514: Label 3| Node 2302: Label 3| Node 2345: Label 3| Node 2346: Label 3| Node 2347: Label 0| Node 2348: Label 3| Node 2349: Label 3| Node 433: Label 3| Node 885: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 45| Triangle motifs attached to ? node: [['901', '1279', '2186'], ['901', '2186', '2199'], ['1692', '756', '2186']]| Star motifs connected to ? node: []| ```",0,3,medium,hard,1,2,hard
5,2,301,"
 ```Adjacency list: {'552': ['524', '1169', '1358'], '524': ['552', '1169', '1358', '2476'], '1169': ['524', '552', '1040', '111', '188', '301', '439', '628', '689', '748', '823', '853', '1145', '1358', '1714', '1719', '1720', '1731', '1734', '1737', '2220', '2476', '2492'], '1358': ['524', '552', '1169', '1040', '689', '1714', '1719', '1720', '823', '1731', '1734', '1737', '111', '748', '758', '853', '1145', '1765'], '2476': ['524', '1169'], '1040': ['1169', '1358', '1765'], '111': ['1169', '1358', '2492', '758'], '188': ['1169'], '301': ['1169', '2492'], '439': ['1169'], '628': ['1169'], '689': ['1169', '1358'], '748': ['1169', '1358', '1145'], '823': ['1169', '1358', '1765'], '853': ['1169', '1358'], '1145': ['1169', '1358', '748'], '1714': ['1169', '1358'], '1719': ['1169', '1358', '1765'], '1720': ['1169', '1358', '1765'], '1731': ['1169', '1358'], '1734': ['1169', '1358'], '1737': ['1169', '1358'], '2220': ['1169'], '2492': ['1169', '1765', '111', '301', '758'], '758': ['1358', '111', '2492'], '1765': ['1358', '1040', '1719', '1720', '823', '2492']}
Node to Label Mapping : 
Node 524: Label 2| Node 552: Label 2| Node 1169: Label 2| Node 1358: Label 2| Node 2476: Label 2| Node 1040: Label 2| Node 1765: Label 2| Node 111: Label 2| Node 188: Label 2| Node 301: Label ?| Node 439: Label 2| Node 628: Label 5| Node 689: Label 2| Node 748: Label 2| Node 823: Label 2| Node 853: Label 2| Node 1145: Label 2| Node 1714: Label 2| Node 1719: Label 2| Node 1720: Label 2| Node 1731: Label 2| Node 1734: Label 2| Node 1737: Label 2| Node 2220: Label 2| Node 2492: Label 2| Node 758: Label 2| ```",2,"
 ```Node to Label Mapping : 
Node 524: Label 2| Node 552: Label 2| Node 1169: Label 2| Node 1358: Label 2| Node 2476: Label 2| Node 1040: Label 2| Node 1765: Label 2| Node 111: Label 2| Node 188: Label 2| Node 301: Label ?| Node 439: Label 2| Node 628: Label 5| Node 689: Label 2| Node 748: Label 2| Node 823: Label 2| Node 853: Label 2| Node 1145: Label 2| Node 1714: Label 2| Node 1719: Label 2| Node 1720: Label 2| Node 1731: Label 2| Node 1734: Label 2| Node 1737: Label 2| Node 2220: Label 2| Node 2492: Label 2| Node 758: Label 2| Graph motif information: No of star motifs: 0| No of triangle motifs: 28| Triangle motifs attached to ? node: [['1169', '301', '2492']]| Star motifs connected to ? node: []| ```",2,2,easy,hard,0,2,hard
6,5,1885,"
 ```Adjacency list: {'661': ['1028', '97', '344', '807', '830', '935', '1045', '1353', '1878', '1879', '1880', '1881', '1882', '1883', '1884', '1885'], '1028': ['661'], '97': ['661', '1353'], '344': ['661', '854'], '807': ['661'], '830': ['661'], '935': ['661', '854'], '1045': ['661'], '1353': ['661', '97'], '1878': ['661'], '1879': ['661'], '1880': ['661'], '1881': ['661', '1958'], '1882': ['661'], '1883': ['661'], '1884': ['661', '1958', '113', '249', '854', '1885'], '1885': ['661', '1884', '2644'], '854': ['344', '935', '1884'], '1958': ['1881', '1884'], '113': ['1884'], '249': ['1884'], '2644': ['1885']}
Node to Label Mapping : 
Node 1028: Label 5| Node 661: Label 5| Node 97: Label 5| Node 344: Label 5| Node 807: Label 5| Node 830: Label 6| Node 935: Label 5| Node 1045: Label 1| Node 1353: Label 5| Node 1878: Label 5| Node 1879: Label 5| Node 1880: Label 5| Node 1881: Label 5| Node 1882: Label 5| Node 1883: Label 5| Node 1884: Label 5| Node 1885: Label ?| Node 1958: Label 5| Node 854: Label 4| Node 2644: Label 5| Node 113: Label 5| Node 249: Label 5| ```",5,"
 ```Node to Label Mapping : 
Node 1028: Label 5| Node 661: Label 5| Node 97: Label 5| Node 344: Label 5| Node 807: Label 5| Node 830: Label 6| Node 935: Label 5| Node 1045: Label 1| Node 1353: Label 5| Node 1878: Label 5| Node 1879: Label 5| Node 1880: Label 5| Node 1881: Label 5| Node 1882: Label 5| Node 1883: Label 5| Node 1884: Label 5| Node 1885: Label ?| Node 1958: Label 5| Node 854: Label 4| Node 2644: Label 5| Node 113: Label 5| Node 249: Label 5| Graph motif information: No of star motifs: 0| No of triangle motifs: 2| Triangle motifs attached to ? node: [['661', '1885', '1884']]| Star motifs connected to ? node: [['1884', '854', '249', '113', '1958', '661', '1885']]| ```",5,5,medium,easy,1,0,medium
7,3,1605,"
 ```Adjacency list: {'310': ['1815', '1944', '1946', '1947', '1948', '1950', '875', '892', '990', '1241', '1272'], '1815': ['310', '1950'], '1950': ['1815', '310', '1944', '1432', '1946', '1947', '1948', '336', '875', '892', '1054', '1241', '1272', '1334', '1605'], '1944': ['310', '1950', '336', '1946'], '1946': ['310', '1950', '1944'], '1947': ['310', '1950', '1272'], '1948': ['310', '1950'], '875': ['310', '1950'], '892': ['310', '1950'], '990': ['310', '1054'], '1241': ['310', '1950'], '1272': ['310', '1950', '1947'], '1432': ['1950', '1054', '2663'], '336': ['1950', '1944'], '1054': ['1950', '1432', '990', '1099', '1577', '1605'], '1334': ['1950', '1577'], '1605': ['1950', '1054', '2663'], '2663': ['1432', '1605'], '1099': ['1054', '1577'], '1577': ['1054', '1334', '1099']}
Node to Label Mapping : 
Node 1815: Label 3| Node 310: Label 3| Node 1950: Label 3| Node 1944: Label 3| Node 336: Label 3| Node 1946: Label 3| Node 1432: Label 3| Node 1054: Label 3| Node 2663: Label 3| Node 1947: Label 3| Node 1272: Label 3| Node 1948: Label 3| Node 875: Label 3| Node 892: Label 3| Node 1241: Label 3| Node 1334: Label 3| Node 1605: Label ?| Node 990: Label 3| Node 1099: Label 3| Node 1577: Label 3| ```",3,"
 ```Node to Label Mapping : 
Node 1815: Label 3| Node 310: Label 3| Node 1950: Label 3| Node 1944: Label 3| Node 336: Label 3| Node 1946: Label 3| Node 1432: Label 3| Node 1054: Label 3| Node 2663: Label 3| Node 1947: Label 3| Node 1272: Label 3| Node 1948: Label 3| Node 875: Label 3| Node 892: Label 3| Node 1241: Label 3| Node 1334: Label 3| Node 1605: Label ?| Node 990: Label 3| Node 1099: Label 3| Node 1577: Label 3| Graph motif information: No of star motifs: 0| No of triangle motifs: 17| Triangle motifs attached to ? node: [['1950', '1054', '1605']]| Star motifs connected to ? node: []| ```",3,3,easy,medium,0,1,medium
8,5,1677,"
 ```Adjacency list: {'88': ['130', '2178', '1288', '1677', '2394', '1174', '1309', '415', '162', '300', '815', '1713', '1847', '696', '1732', '841', '76', '1741', '851', '1494', '498', '737', '743', '1394', '1527', '1658', '1882', '1908', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017'], '130': ['88', '2017'], '2017': ['130', '88', '815'], '2178': ['88', '76', '415', '737', '1309'], '1288': ['88', '1309'], '1677': ['88', '415', '1309', '191', '1908'], '2394': ['88', '1174'], '1174': ['88', '415', '2394', '162', '815'], '1309': ['88', '2178', '415', '1288', '1677', '61', '490', '851', '995', '1338', '1625', '1741', '1882', '2015', '2102', '2103'], '415': ['88', '2178', '2182', '1677', '525', '1174', '1309', '204', '300', '593', '737', '818', '851', '966', '1527', '1644', '1843', '1847', '1850', '1908', '2014'], '162': ['88', '1174'], '300': ['88', '415'], '815': ['88', '2017', '1174'], '1713': ['88'], '1847': ['88', '415'], '696': ['88'], '1732': ['88'], '841': ['88'], '76': ['88', '2178'], '1741': ['88', '1309'], '851': ['88', '415', '1309'], '1494': ['88'], '498': ['88'], '737': ['88', '2178', '415'], '743': ['88'], '1394': ['88', '211'], '1527': ['88', '415'], '1658': ['88'], '1882': ['88', '1309'], '1908': ['88', '415', '1677', '1178', '1474', '211', '1529'], '2010': ['88', '2016'], '2011': ['88'], '2012': ['88'], '2013': ['88'], '2014': ['88', '415'], '2015': ['88', '1309'], '2016': ['88', '2010'], '2182': ['415', '525'], '525': ['415', '2182'], '204': ['415'], '593': ['415', '1474'], '818': ['415'], '966': ['415'], '1644': ['415'], '1843': ['415'], '1850': ['415'], '61': ['1309'], '490': ['1309'], '995': ['1309', '2385'], '1338': ['1309', '2385'], '1625': ['1309'], '2102': ['1309', '2385'], '2103': ['1309', '2385'], '191': ['1677', '382', '608', '1791', '1998', '2385'], '382': ['191'], '608': ['191'], '1791': ['191'], '1998': ['191'], '2385': ['191', '995', '1338', '2102', '2103'], '1178': ['1908', '1529'], '1474': ['1908', '593'], '211': ['1908', '1394'], '1529': ['1908', '1178']}
Node to Label Mapping : 
Node 130: Label 5| Node 88: Label 0| Node 2017: Label 5| Node 2178: Label 5| Node 76: Label 5| Node 415: Label 0| Node 737: Label 5| Node 1309: Label 5| Node 2182: Label 0| Node 525: Label 0| Node 1288: Label 6| Node 1677: Label ?| Node 191: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 162: Label 4| Node 815: Label 0| Node 1178: Label 4| Node 1529: Label 4| Node 61: Label 0| Node 490: Label 5| Node 851: Label 0| Node 995: Label 5| Node 1338: Label 5| Node 1625: Label 2| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 2102: Label 5| Node 2103: Label 5| Node 204: Label 0| Node 300: Label 5| Node 593: Label 4| Node 818: Label 3| Node 966: Label 0| Node 1527: Label 0| Node 1644: Label 0| Node 1843: Label 0| Node 1847: Label 0| Node 1850: Label 0| Node 2014: Label 3| Node 1713: Label 0| Node 2385: Label 4| Node 696: Label 3| Node 382: Label 3| Node 608: Label 1| Node 1791: Label 1| Node 1998: Label 5| Node 1474: Label 4| Node 1732: Label 2| Node 841: Label 3| Node 211: Label 0| Node 1394: Label 5| Node 1494: Label 5| Node 498: Label 4| Node 743: Label 3| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Node 2016: Label 0| ```",-1,"
 ```Node to Label Mapping : 
Node 130: Label 5| Node 88: Label 0| Node 2017: Label 5| Node 2178: Label 5| Node 76: Label 5| Node 415: Label 0| Node 737: Label 5| Node 1309: Label 5| Node 2182: Label 0| Node 525: Label 0| Node 1288: Label 6| Node 1677: Label ?| Node 191: Label 5| Node 1908: Label 4| Node 2394: Label 6| Node 1174: Label 0| Node 162: Label 4| Node 815: Label 0| Node 1178: Label 4| Node 1529: Label 4| Node 61: Label 0| Node 490: Label 5| Node 851: Label 0| Node 995: Label 5| Node 1338: Label 5| Node 1625: Label 2| Node 1741: Label 3| Node 1882: Label 5| Node 2015: Label 6| Node 2102: Label 5| Node 2103: Label 5| Node 204: Label 0| Node 300: Label 5| Node 593: Label 4| Node 818: Label 3| Node 966: Label 0| Node 1527: Label 0| Node 1644: Label 0| Node 1843: Label 0| Node 1847: Label 0| Node 1850: Label 0| Node 2014: Label 3| Node 1713: Label 0| Node 2385: Label 4| Node 696: Label 3| Node 382: Label 3| Node 608: Label 1| Node 1791: Label 1| Node 1998: Label 5| Node 1474: Label 4| Node 1732: Label 2| Node 841: Label 3| Node 211: Label 0| Node 1394: Label 5| Node 1494: Label 5| Node 498: Label 4| Node 743: Label 3| Node 1658: Label 0| Node 2010: Label 0| Node 2011: Label 3| Node 2012: Label 3| Node 2013: Label 6| Node 2016: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 34| Triangle motifs attached to ? node: [['1677', '88', '1908'], ['1677', '88', '415'], ['1677', '88', '1309'], ['1677', '1908', '415'], ['1677', '415', '1309'], ['88', '1908', '415'], ['88', '415', '1309']]| Star motifs connected to ? node: [['191', '382', '2385', '1791', '1998', '608', '1677']]| ```",-1,0,hard,hard,2,2,hard
9,3,2108,"
 ```Adjacency list: {'693': ['1851', '334', '95', '763', '2108'], '1851': ['693'], '334': ['693', '95'], '95': ['693', '334'], '763': ['693'], '2108': ['693', '1519'], '1519': ['2335', '1511', '147', '1015', '1534', '2108', '2640'], '2335': ['1519'], '1511': ['1519'], '147': ['1519'], '1015': ['1519'], '1534': ['1519'], '2640': ['1519']}
Node to Label Mapping : 
Node 1851: Label 6| Node 693: Label 0| Node 2335: Label 4| Node 1519: Label 4| Node 1511: Label 3| Node 334: Label 0| Node 95: Label 0| Node 147: Label 3| Node 1015: Label 4| Node 1534: Label 4| Node 2108: Label ?| Node 2640: Label 3| Node 763: Label 0| ```",-1,"
 ```Node to Label Mapping : 
Node 1851: Label 6| Node 693: Label 0| Node 2335: Label 4| Node 1519: Label 4| Node 1511: Label 3| Node 334: Label 0| Node 95: Label 0| Node 147: Label 3| Node 1015: Label 4| Node 1534: Label 4| Node 2108: Label ?| Node 2640: Label 3| Node 763: Label 0| Graph motif information: No of star motifs: 0| No of triangle motifs: 1| Triangle motifs attached to ? node: []| Star motifs connected to ? node: [['1519', '2335', '1511', '1534', '147', '2640', '1015', '2108']]| ```",4,4,medium,easy,1,0,medium
