GroundTruth,Parsed Value,Prompt,Response
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 1
Edgelist: [(692, 2629)]
Node to Label Mapping : 
Node 692: Label 3| Node 2629: Label ?| ```
            ""","""Label of Node = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 2
Edgelist: [(1026, 2034), (13, 1701), (13, 1810), (14, 158), (14, 2034), (532, 1701), (532, 1863), (24, 201), (24, 1636), (24, 1701), (1052, 1701), (547, 1701), (1062, 962), (1062, 1810), (49, 2034), (563, 318), (563, 1337), (563, 1701), (1075, 1701), (1100, 1701), (1614, 2034), (1615, 1665), (2130, 691), (2130, 791), (2130, 1889), (2130, 1891), (2130, 2034), (86, 1336), (86, 2034), (1636, 1701), (617, 2034), (1654, 2034), (633, 1701), (633, 1866), (1665, 962), (1665, 1701), (1665, 2034), (841, 2034), (141, 1002), (141, 2034), (143, 1701), (664, 1701), (157, 1701), (157, 1870), (158, 1701), (158, 2034), (1701, 201), (1701, 205), (1701, 215), (1701, 216), (1701, 226), (1701, 231), (1701, 232), (1701, 235), (1701, 261), (1701, 318), (1701, 335), (1701, 343), (1701, 416), (1701, 467), (1701, 699), (1701, 729), (1701, 767), (1701, 784), (1701, 869), (1701, 874), (1701, 1023), (1701, 1212), (1701, 1241), (1701, 1299), (1701, 1323), (1701, 1334), (1701, 1337), (1701, 1440), (1701, 1453), (1701, 1479), (1701, 1799), (1701, 1820), (1701, 1846), (1701, 1852), (1701, 1853), (1701, 1854), (1701, 1855), (1701, 1856), (1701, 1857), (1701, 1858), (1701, 1859), (1701, 1860), (1701, 1861), (1701, 1862), (1701, 1863), (1701, 1864), (1701, 1865), (1701, 1866), (1701, 1867), (1701, 1868), (1701, 1869), (1701, 1870), (1701, 1871), (1701, 1872), (1701, 1873), (1701, 1874), (1701, 1875), (1701, 1876), (1701, 1877), (691, 2034), (205, 1869), (224, 1810), (224, 2034), (231, 232), (231, 1868), (232, 869), (232, 1864), (1270, 2034), (1273, 2034), (261, 1479), (261, 1894), (1806, 962), (1806, 1809), (1807, 962), (1807, 2034), (1808, 962), (1808, 1810), (1809, 962), (1809, 1810), (1810, 962), (1810, 1299), (1810, 1812), (1810, 1820), (1810, 1869), (1812, 2034), (791, 2034), (1820, 1873), (1319, 2034), (1846, 1867), (1336, 2034), (1864, 869), (1871, 417), (1889, 1891), (1889, 2034), (1889, 2039), (1891, 2034), (869, 1440), (1894, 1479), (1894, 2034), (382, 2034), (1929, 2034), (417, 2034), (1448, 2034), (1968, 2034), (1983, 2034), (1497, 2034), (1002, 2034), (2034, 2035), (2034, 2036), (2034, 2037), (2034, 2038), (2034, 2039), (2034, 2040), (2034, 2041), (2034, 2042), (2039, 2042)]
Node to Label Mapping : 
Node 1026: Label 3| Node 13: Label 3| Node 14: Label 3| Node 532: Label 3| Node 24: Label 3| Node 1052: Label 3| Node 547: Label 3| Node 1062: Label 3| Node 49: Label 4| Node 563: Label 1| Node 1075: Label 3| Node 1100: Label 3| Node 1614: Label 3| Node 1615: Label 3| Node 2130: Label 4| Node 86: Label 4| Node 1636: Label 3| Node 617: Label 3| Node 1654: Label 3| Node 633: Label 3| Node 1665: Label 3| Node 841: Label 3| Node 141: Label 3| Node 143: Label 3| Node 664: Label 3| Node 157: Label 3| Node 158: Label 3| Node 1701: Label 3| Node 691: Label 4| Node 699: Label 3| Node 1212: Label 3| Node 201: Label 3| Node 205: Label 3| Node 215: Label 3| Node 216: Label 3| Node 729: Label 3| Node 1241: Label 3| Node 224: Label 4| Node 226: Label 3| Node 231: Label 3| Node 232: Label 3| Node 235: Label 3| Node 1270: Label 3| Node 1273: Label 3| Node 767: Label 0| Node 261: Label 3| Node 1799: Label 3| Node 1806: Label 3| Node 1807: Label 3| Node 1808: Label 3| Node 1809: Label 3| Node 1810: Label 3| Node 784: Label 3| Node 1299: Label 3| Node 1812: Label 3| Node 791: Label 3| Node 1820: Label 3| Node 1319: Label 3| Node 1323: Label 3| Node 1334: Label 3| Node 1846: Label 3| Node 1336: Label 4| Node 1337: Label 1| Node 1852: Label 3| Node 1853: Label 3| Node 318: Label 1| Node 1854: Label 1| Node 1855: Label 3| Node 1856: Label 1| Node 1857: Label 3| Node 1858: Label 3| Node 1859: Label 3| Node 1860: Label 3| Node 1861: Label 3| Node 1862: Label 3| Node 1863: Label 3| Node 1864: Label 3| Node 1866: Label 3| Node 1865: Label 3| Node 1867: Label 3| Node 1868: Label 3| Node 1869: Label 3| Node 335: Label 3| Node 1870: Label 3| Node 1871: Label 3| Node 1872: Label ?| Node 1873: Label 3| Node 1874: Label 3| Node 1875: Label 3| Node 1876: Label 3| Node 343: Label 3| Node 1877: Label 3| Node 1889: Label 4| Node 1891: Label 4| Node 869: Label 3| Node 1894: Label 3| Node 874: Label 3| Node 382: Label 3| Node 1929: Label 3| Node 416: Label 3| Node 1440: Label 3| Node 417: Label 3| Node 1448: Label 1| Node 1453: Label 3| Node 1968: Label 4| Node 1983: Label 0| Node 962: Label 3| Node 1479: Label 3| Node 467: Label 0| Node 1497: Label 3| Node 1002: Label 3| Node 2034: Label 4| Node 2035: Label 3| Node 2036: Label 3| Node 2037: Label 3| Node 2038: Label 3| Node 2039: Label 3| Node 2040: Label 4| Node 2041: Label 3| Node 2042: Label 3| Node 1023: Label 3| ```
            ""","""Label of Node 1872 = Label 3"""
5,5,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 3
Edgelist: [(474, 1181)]
Node to Label Mapping : 
Node 474: Label ?| Node 1181: Label 5| ```
            ""","""Label of Node = 5"""
0,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 4
Edgelist: [(2189, 1395), (2189, 1682), (2318, 1681), (2319, 695), (2319, 1681), (2319, 1682), (2320, 1681), (2320, 1682), (1681, 407), (1681, 409), (1681, 459), (1681, 695), (1681, 948), (1681, 1012), (1682, 407), (1682, 695), (1682, 733), (1682, 948), (1682, 1012), (1682, 2291), (1682, 2321), (2321, 2266), (407, 409), (407, 695), (2072, 1395), (679, 1395), (948, 695), (948, 1395), (695, 1012), (695, 1336), (695, 1790), (695, 1998), (1336, 1012), (2266, 1395), (2266, 2267), (2267, 1395), (733, 2291)]
Node to Label Mapping : 
Node 2189: Label 0| Node 2318: Label 1| Node 2319: Label 1| Node 2320: Label 3| Node 1681: Label 3| Node 1682: Label 0| Node 2321: Label 0| Node 407: Label 3| Node 2072: Label 0| Node 409: Label 1| Node 679: Label 0| Node 948: Label 0| Node 695: Label 3| Node 1336: Label 4| Node 459: Label 1| Node 1998: Label 5| Node 2266: Label 0| Node 2267: Label 0| Node 733: Label 0| Node 1395: Label ?| Node 1012: Label 4| Node 2291: Label 0| Node 1790: Label 1| ```
            ""","""Label of Node 1395 = 3"""
1,4,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 5
Edgelist: [(387, 231), (387, 519), (133, 109), (133, 2045), (519, 109), (519, 306), (519, 1346), (519, 1998), (519, 2045), (1805, 109), (1805, 306), (1805, 426), (1805, 1072), (1045, 109), (1045, 306), (277, 973), (153, 109), (153, 236), (153, 306), (153, 459), (153, 2045), (671, 973), (289, 109), (1701, 231), (1701, 232), (1701, 318), (1701, 563), (1701, 1337), (1701, 1868), (551, 231), (935, 973), (1789, 109), (1789, 426), (426, 109), (426, 306), (426, 1772), (2217, 231), (2092, 109), (2093, 109), (2094, 109), (2095, 109), (176, 109), (176, 231), (176, 973), (2045, 109), (2045, 236), (2045, 306), (2045, 318), (2045, 563), (2045, 1337), (2045, 1772), (2045, 1787), (306, 109), (306, 124), (306, 236), (306, 973), (306, 1072), (306, 1346), (306, 1772), (306, 1779), (306, 1787), (563, 109), (563, 318), (563, 1337), (179, 197), (179, 231), (1072, 236), (1072, 973), (1583, 973), (1337, 109), (318, 109), (1346, 109), (197, 231), (454, 973), (454, 1661), (459, 109), (1868, 231), (973, 115), (973, 252), (973, 630), (973, 682), (973, 880), (973, 1142), (973, 2016), (973, 2019), (973, 2153), (1998, 109), (1624, 109), (1624, 1779), (1624, 1785), (1624, 1787), (610, 109), (102, 109), (231, 232), (1769, 109), (236, 109), (109, 124), (109, 1661), (109, 1772), (109, 1779), (109, 1785), (109, 1787)]
Node to Label Mapping : 
Node 387: Label 3| Node 133: Label 1| Node 519: Label 1| Node 1805: Label 1| Node 1045: Label 1| Node 277: Label 3| Node 153: Label 1| Node 671: Label 5| Node 289: Label 2| Node 1701: Label 3| Node 551: Label 6| Node 935: Label 5| Node 1789: Label 1| Node 426: Label 1| Node 2217: Label 6| Node 2092: Label 1| Node 2093: Label 1| Node 2094: Label 1| Node 2095: Label 1| Node 176: Label 1| Node 2045: Label 1| Node 306: Label 1| Node 563: Label 1| Node 179: Label 3| Node 1072: Label 2| Node 1583: Label 0| Node 1337: Label 1| Node 318: Label 1| Node 1346: Label 1| Node 197: Label 3| Node 454: Label 5| Node 459: Label 1| Node 1868: Label 3| Node 973: Label 5| Node 1998: Label 5| Node 1624: Label 1| Node 2016: Label 0| Node 610: Label 5| Node 2019: Label 0| Node 102: Label 1| Node 231: Label 3| Node 232: Label 3| Node 1769: Label 1| Node 682: Label 6| Node 2153: Label 4| Node 236: Label 1| Node 109: Label 1| Node 1772: Label 1| Node 880: Label 0| Node 1779: Label ?| Node 115: Label 5| Node 252: Label 5| Node 630: Label 3| Node 1142: Label 1| Node 1785: Label 4| Node 1787: Label 1| Node 124: Label 1| Node 1661: Label 5| ```
            ""","""Label of Node = 4"""
0,0,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 6
Edgelist: [(1635, 763), (707, 763), (693, 763)]
Node to Label Mapping : 
Node 1635: Label 4| Node 707: Label 0| Node 693: Label ?| Node 763: Label 0| ```
            ""","""Label of Node = 0"""
0,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 7
Edgelist: [(997, 182), (997, 183), (997, 1837), (1768, 1837), (1837, 183), (1837, 1330), (182, 183)]
Node to Label Mapping : 
Node 997: Label 3| Node 1768: Label 1| Node 1837: Label 3| Node 1330: Label ?| Node 182: Label 3| Node 183: Label 3| ```
            ""","""Label of Node 1330 = 3"""
5,5,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 8
Edgelist: [(193, 458), (1122, 458), (1953, 458), (1953, 1555), (458, 125), (458, 1276), (458, 1555), (1555, 2363), (2363, 125)]
Node to Label Mapping : 
Node 193: Label 5| Node 1122: Label 5| Node 1953: Label ?| Node 458: Label 5| Node 1555: Label 5| Node 2363: Label 5| Node 1276: Label 5| Node 125: Label 5| ```
            ""","""Label of Node 1953 = 5"""
4,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 9
Edgelist: [(1697, 1119), (870, 1119), (870, 2126), (2124, 1119), (2124, 1273), (2124, 2125), (2124, 2126), (2124, 2127), (2125, 1111), (2125, 1119), (2125, 1273), (2125, 2126), (2126, 1111), (2126, 1119), (2126, 1235), (2126, 1273), (1663, 1119), (1663, 1462), (2128, 1119), (2128, 2129), (2129, 1111), (2129, 1119), (2129, 1273), (2127, 1119), (1235, 1119), (1235, 1462), (722, 1273), (2034, 1273), (1462, 1119), (1111, 1119), (1111, 1273), (1273, 1119)]
Node to Label Mapping : 
Node 1697: Label 3| Node 870: Label 3| Node 2124: Label 3| Node 2125: Label 3| Node 2126: Label 3| Node 1663: Label 3| Node 2128: Label 3| Node 2129: Label 3| Node 2127: Label ?| Node 1235: Label 4| Node 722: Label 3| Node 2034: Label 4| Node 1462: Label 3| Node 1111: Label 4| Node 1273: Label 3| Node 1119: Label 3| ```
            ""","""Label of Node 2127 = 3"""
2,2,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 10
Edgelist: [(1345, 202), (1345, 353), (353, 202), (353, 1173), (353, 2507), (1250, 202), (1250, 328), (1250, 650), (1250, 1173), (1250, 2507), (202, 1173)]
Node to Label Mapping : 
Node 1345: Label 2| Node 353: Label ?| Node 1250: Label 2| Node 328: Label 2| Node 202: Label 2| Node 2507: Label 2| Node 650: Label 2| Node 1173: Label 2| ```
            ""","""Label of Node 353 = 2"""
