Input Text,Compressed Text,Token Compression Percentage,Connection Info Compression Percentage
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {2156: [324, 1224, 2024, 651], 324: [2156], 1224: [2156], 651: [2024, 2156], 2024: [651, 2156]}
Node to Label Mapping : 
Node 324: Label 0| Node 1224: Label 0| Node 2024: Label 5| Node 651: Label 0| Node 2156: Label ?| ```
        >>>
        ","""Task:NodeLblPred(?). AdjList:{2156:[324,1224,2024,651],324:[2156],1224:[2156],651:[2024,2156],2024:[651,2156]}. NodeLblMap:324=0,1224=0,2024=5,651=0,2156=? ResFmt:Label of Node=<predLbl> or -1 if undetermined""",28.65853658536585,74.07407407407408
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {842: [161], 161: [842, 2010], 2010: [161]}
Node to Label Mapping : 
Node 161: Label ?| Node 842: Label 0| Node 2010: Label 0| ```
        >>>
        ","""Task:NodeLblPred(?).AdjList:{842:[161],161:[842,2010],2010:[161]}.NodeLblMap:161:?,842:0,2010:0.RespFmt:Label of Node=<predLbl> or -1 if undetermined""",21.942446043165468,72.72727272727273
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {306: [2080, 1770, 1245], 2080: [306, 1245, 1770], 1245: [2080, 1770, 306], 1770: [2080, 306, 1245, 1623], 1623: [1770]}
Node to Label Mapping : 
Node 2080: Label 1| Node 1770: Label 1| Node 306: Label 1| Node 1623: Label ?| Node 1245: Label 1| ```
        >>>
        ","""Task:NodeLblPred (Predict ? node label, given adjacency list & node-label mapping. Response: ""Label of Node = <predicted label>"". If undetermined, return ""Label of Node = -1"") ```Adjacency list: {306: [2080, 1770, 1245], 2080: [306, 1245, 1770], 1245: [2080, 1770, 306], 1770: [2080, 306, 1245, 1623], 1623: [1770]} Node to Label Mapping : Node 2080: Label 1| Node 1770: Label 1| Node 306: Label 1| Node 1623: Label ?| Node 1245: Label 1| ```""",49.421965317919074,100.0
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {1750: [1601], 1601: [1750]}
Node to Label Mapping : 
Node 1601: Label 2| Node 1750: Label ?| ```
        >>>
        ","""Task: NodeLblPred (Predict ? node label, given adjacency list & node-label mapping. Response: ""Label of Node = <predicted label>"". If undetermined, return ""Label of Node = -1"") 
```Adjacency list: {1750: [1601], 1601: [1750]}
Node 1601: Label 2| Node 1750: Label ?| ```""",32.196969696969695,100.0
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {95: [1602, 2181, 2074], 1602: [95, 2074], 2074: [1602, 2277, 2181, 95], 2277: [2074], 2181: [95, 2074]}
Node to Label Mapping : 
Node 1602: Label 0| Node 2277: Label 0| Node 2181: Label 0| Node 2074: Label 0| Node 95: Label ?| ```
        >>>
        ","""Task:NodeLblPred(?). AdjList:{95:[1602,2181,2074],1602:[95,2074],2074:[1602,2277,2181,95],2277:[2074],2181:[95,2074]}. NodeLblMap:1602:0,2277:0,2181:0,2074:0,95:?. RespFmt:Label of Node=<predLbl> or -1 if undetermined.""",30.473372781065088,74.60317460317461
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {1077: [2113, 389, 1483, 2450], 2113: [1077, 1483, 2450], 1483: [2113, 389, 1077], 2450: [2113, 389, 1077], 389: [1077, 1483, 2450]}
Node to Label Mapping : 
Node 2113: Label ?| Node 389: Label 2| Node 1483: Label 2| Node 2450: Label 2| Node 1077: Label 5| ```
        >>>
        ","""Task:NodeLblPred(?). AdjList:{1077:[2113,389,1483,2450],2113:[1077,1483,2450],1483:[2113,389,1077],2450:[2113,389,1077],389:[1077,1483,2450]}. NodeLblMap:2113:?,389:2,1483:2,2450:2,1077:5. RespFmt:Label of Node=<predLbl> or -1 if undetermined.""",32.48587570621469,74.68354430379746
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {1204: [1602, 1838, 751, 1839, 1330], 1602: [1204], 1838: [1204], 751: [1204], 1839: [1204], 1330: [1204]}
Node to Label Mapping : 
Node 1602: Label 0| Node 1838: Label ?| Node 751: Label 0| Node 1839: Label 0| Node 1330: Label 0| Node 1204: Label 1| ```
        >>>
        ","""Task:NodeLblPred(?). AdjList:{1204:[1602,1838,751,1839,1330],1602:[1204],1838:[1204],751:[1204],1839:[1204],1330:[1204]}. NodeLblMap:1602:0|1838:?|751:0|1839:0|1330:0|1204:1. RespFmt:Label of Node=<predLbl> or -1 if undetermined.""",31.01449275362319,75.40983606557377
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {735: [739, 1543, 1881], 739: [735, 1543, 1881], 1543: [739, 735, 1881, 2029], 1881: [739, 1543, 735], 2029: [1543]}
Node to Label Mapping : 
Node 739: Label 5| Node 1543: Label 5| Node 2029: Label 5| Node 1881: Label ?| Node 735: Label 5| ```
        >>>
        ","""Task:NodeLblPred(?). AdjList:{735:[739,1543,1881],739:[735,1543,1881],1543:[739,735,1881,2029],1881:[739,1543,735],2029:[1543]}. NodeLblMap:739:5,1543:5,2029:5,1881:?,735:5. RespFmt:Label of Node=<predLbl> or -1 if undetermined.""",30.498533724340177,73.13432835820896
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {2381: [2001, 1666, 1662], 2001: [2381], 1662: [1666, 2381], 1666: [1662, 2381]}
Node to Label Mapping : 
Node 2001: Label 4| Node 1666: Label 3| Node 2381: Label 3| Node 1662: Label ?| ```
        >>>
        ","""Task: NodeLblPred (Predict ? node label, given adjacency list & node-label mapping. Response: ""Label of Node = <predicted label>"". If undetermined, return ""Label of Node = -1"") ```Adjacency list: {2381: [2001, 1666, 1662], 2001: [2381], 1662: [1666, 2381], 1666: [1662, 2381]} Node to Label Mapping : Node 2001: Label 4| Node 1666: Label 3| Node 2381: Label 3| Node 1662: Label ?| ```""",44.26751592356688,100.0
"
        Compress the following text in triple angular brackets '<<< >>>', into the size of a tweet such that you (GPT-4) can reconstruct the intention of the human who wrote text as close as possible to the original intention. Response format information given in the text needs to be retained in the reconstruction.This is for yourself. It does not need to be human readable or understandable. Abuse of language mixing, abbreviations, symbols (unicode and emoji), or any other encodings or internal representations is all permissible, as long as it, if pasted in a new inference cycle, will yield near-identical results as the original text.
        <<<
        Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood""
        and node-label mapping in the text enclosed in triple backticks. Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"") 
        ```Adjacency list: {2541: [2303, 1591], 2303: [2541], 1591: [2541]}
Node to Label Mapping : 
Node 2303: Label 3| Node 2541: Label ?| Node 1591: Label 3| ```
        >>>
        ","NLPred: {AdjLst: {2541: [2303, 1591], 2303: [2541], 1591: [2541]}, N2LM: {2303: 3, 2541: '?', 1591: 3}, RspFmt: ""Label of Node = <pred_label>"", Indet: ""-1""}",28.07017543859649,-1
