GroundTruth,Parsed Value,Prompt,Response
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 1
Edgelist: Node 512 is connected to Node 172. Node 512 is connected to Node 240. Node 512 is connected to Node 756. Node 512 is connected to Node 1472. Node 512 is connected to Node 1692. Node 2186 is connected to Node 756. Node 2186 is connected to Node 1692. Node 2187 is connected to Node 172. Node 2187 is connected to Node 756. Node 2187 is connected to Node 1472. Node 2187 is connected to Node 1692. Node 1423 is connected to Node 1692. Node 1692 is connected to Node 172. Node 1692 is connected to Node 240. Node 1692 is connected to Node 291. Node 1692 is connected to Node 503. Node 1692 is connected to Node 574. Node 1692 is connected to Node 756. Node 1692 is connected to Node 1469. Node 1692 is connected to Node 1472. Node 1692 is connected to Node 1514. Node 1692 is connected to Node 2302. Node 1692 is connected to Node 2345. Node 1692 is connected to Node 2346. Node 1692 is connected to Node 2347. Node 1692 is connected to Node 2348. Node 1692 is connected to Node 2349. Node 2346 is connected to Node 1469. Node 2346 is connected to Node 2349. Node 172 is connected to Node 240. Node 172 is connected to Node 756. Node 2349 is connected to Node 1469. Node 1469 is connected to Node 756. Node 1472 is connected to Node 240. Node 1472 is connected to Node 756. Node 240 is connected to Node 756. 
Node to Label Mapping : 
Node 512: Label 3| Node 2186: Label 0| Node 2187: Label 3| Node 1423: Label 3| Node 1692: Label 3| Node 291: Label 3| Node 2345: Label 3| Node 2346: Label 3| Node 2347: Label 0| Node 172: Label 3| Node 2348: Label 3| Node 2349: Label 3| Node 1469: Label 3| Node 574: Label 3| Node 1472: Label 3| Node 1514: Label 3| Node 240: Label 3| Node 756: Label 3| Node 503: Label 3| Node 2302: Label ?| ```
            ""","""Label of Node 2302 = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 2
Edgelist: Node 1810 is connected to Node 1581. Node 1810 is connected to Node 1819. Node 1819 is connected to Node 1581. Node 1581 is connected to Node 310. 
Node to Label Mapping : 
Node 1810: Label ?| Node 1819: Label 3| Node 1581: Label 3| Node 310: Label 3| ```
            ""","""Label of Node 1810 = 3"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 3
Edgelist: Node 413 is connected to Node 374. 
Node to Label Mapping : 
Node 413: Label 3| Node 374: Label ?| ```
            ""","""Label of Node 374 = 3"""
4,4,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 4
Edgelist: Node 2464 is connected to Node 444. Node 2464 is connected to Node 515. Node 2464 is connected to Node 623. Node 2464 is connected to Node 828. Node 2464 is connected to Node 2289. Node 2464 is connected to Node 2290. Node 515 is connected to Node 444. Node 515 is connected to Node 623. Node 582 is connected to Node 444. Node 828 is connected to Node 444. Node 488 is connected to Node 444. Node 623 is connected to Node 444. Node 623 is connected to Node 2289. Node 2289 is connected to Node 444. Node 2290 is connected to Node 444. 
Node to Label Mapping : 
Node 2464: Label 4| Node 515: Label 4| Node 582: Label 4| Node 828: Label ?| Node 488: Label 4| Node 623: Label 4| Node 2289: Label 4| Node 2290: Label 4| Node 444: Label 4| ```
            ""","""Label of Node 828 = 4"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 5
Edgelist: Node 1808 is connected to Node 579. Node 994 is connected to Node 579. Node 579 is connected to Node 1134. 
Node to Label Mapping : 
Node 1808: Label 3| Node 994: Label ?| Node 579: Label 3| Node 1134: Label 3| ```
            ""","""Label of Node 994 = 3"""
0,0,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 6
Edgelist: Node 624 is connected to Node 1042. Node 624 is connected to Node 1232. 
Node to Label Mapping : 
Node 624: Label 0| Node 1042: Label ?| Node 1232: Label 0| ```
            ""","""Label of Node 1042 = 0"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 7
Edgelist: Node 1147 is connected to Node 2367. Node 1147 is connected to Node 2371. Node 2177 is connected to Node 2367. Node 2177 is connected to Node 2371. Node 2371 is connected to Node 2367. 
Node to Label Mapping : 
Node 1147: Label 3| Node 2177: Label 3| Node 2371: Label ?| Node 2367: Label 3| ```
            ""","""Label of Node 2371 = 3"""
1,1,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 8
Edgelist: Node 2090 is connected to Node 306. Node 2090 is connected to Node 350. Node 2090 is connected to Node 656. Node 2090 is connected to Node 1335. Node 656 is connected to Node 306. Node 656 is connected to Node 350. Node 306 is connected to Node 350. 
Node to Label Mapping : 
Node 2090: Label ?| Node 656: Label 1| Node 306: Label 1| Node 1335: Label 1| Node 350: Label 1| ```
            ""","""Label of Node 2090 = 1"""
3,3,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 9
Edgelist: Node 2369 is connected to Node 2367. Node 2369 is connected to Node 2370. Node 2370 is connected to Node 2367. 
Node to Label Mapping : 
Node 2369: Label ?| Node 2370: Label 3| Node 2367: Label 3| ```
            ""","""Label of Node 2369 = 3"""
1,5,"""
            Task : Node Label Prediction (Predict the label of the node marked with a ?, in the format ""Label of Node = "" : <predicted label>) given the edge connectivity and label information in the text enclosed in triple backticks.
            ```Graph 10
Edgelist: Node 2145 is connected to Node 1512. Node 2023 is connected to Node 1512. Node 1512 is connected to Node 342. Node 1512 is connected to Node 945. 
Node to Label Mapping : 
Node 2145: Label ?| Node 2023: Label 5| Node 1512: Label 5| Node 945: Label 1| Node 342: Label 1| ```
            ""","""Label of Node = 5"""
